Filesystem      Size  Used Avail Use% Mounted on
tmpfs           198M  1.8M  196M   1% /run
/dev/sda2        49G   47G  576M  99% /
tmpfs           989M     0  989M   0% /dev/shm
tmpfs           5.0M     0  5.0M   0% /run/lock
/dev/sda1       511M  5.3M  506M   2% /boot/efi
tmpfs           198M   80K  198M   1% /run/user/127
tmpfs           1.5G   12K  1.5G   1% /var/lib/kubelet/pods/bc39d79e-733e-4dc4-9aa4-b15b081c442c/volumes/kubernetes.io~projected/kube-api-access-8r62j
tmpfs           1.5G   12K  1.5G   1% /var/lib/kubelet/pods/6e777087-9ce9-479f-8066-8a802f8e9bb9/volumes/kubernetes.io~projected/kube-api-access-jvtzk
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/c9cad83c41e1c368d1face270668534d655b3f684205d61bca976d5bff615d87/shm
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/7643ea29b6b832fff9c8e66fc5def89c4fd636bc6ff2a40e201cba41814cf2bb/shm
overlay          49G   47G  576M  99% /run/containerd/io.containerd.runtime.v2.task/k8s.io/7643ea29b6b832fff9c8e66fc5def89c4fd636bc6ff2a40e201cba41814cf2bb/rootfs
overlay          49G   47G  576M  99% /run/containerd/io.containerd.runtime.v2.task/k8s.io/c9cad83c41e1c368d1face270668534d655b3f684205d61bca976d5bff615d87/rootfs
overlay          49G   47G  576M  99% /run/containerd/io.containerd.runtime.v2.task/k8s.io/1b785acc1e63d5e78e34d5dd475f4e85d947f7b3af3649d2a88f50b9d3779994/rootfs
overlay          49G   47G  576M  99% /run/containerd/io.containerd.runtime.v2.task/k8s.io/4167c23a546b1f1685cd3c9ff84354d8916430bdd9ca7e1d828ce1fd016ec111/rootfs
tmpfs           198M   72K  198M   1% /run/user/1000
