Filesystem      Size  Used Avail Use% Mounted on
tmpfs           198M  2.3M  196M   2% /run
/dev/sda2        49G   11G   37G  23% /
tmpfs           989M     0  989M   0% /dev/shm
tmpfs           5.0M     0  5.0M   0% /run/lock
/dev/sda1       511M  5.3M  506M   2% /boot/efi
tmpfs           198M   80K  198M   1% /run/user/127
tmpfs           1.5G   12K  1.5G   1% /var/lib/kubelet/pods/96fb5615-4219-47c5-8c05-d4f10e58941a/volumes/kubernetes.io~projected/kube-api-access-68dwl
tmpfs           1.5G   12K  1.5G   1% /var/lib/kubelet/pods/8951906a-efd4-4db6-b90d-5429bd045bbf/volumes/kubernetes.io~projected/kube-api-access-qhx9t
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/e43915acc53da41e39ea0e36507d4eb36fbb070d1e26b135d783e1820efcec57/shm
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/1b092e95098962956cb234b6578f9a8ebb5c9b85889f25869743ef6a8ff6e59d/shm
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/1b092e95098962956cb234b6578f9a8ebb5c9b85889f25869743ef6a8ff6e59d/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/e43915acc53da41e39ea0e36507d4eb36fbb070d1e26b135d783e1820efcec57/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/73c8dfb528bae8abbb8c5190a997d29a5689602d57efd52ff44653cdef25adae/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/82505c02bfd26083199b28a11e62f9bcb7d32507bfa475e04bcdec4806010a44/rootfs
tmpfs           1.5G   12K  1.5G   1% /var/lib/kubelet/pods/3a3618fc-6c92-4beb-9a05-0c304bc9578a/volumes/kubernetes.io~projected/kube-api-access-kqglm
tmpfs           1.5G   12K  1.5G   1% /var/lib/kubelet/pods/e786ea29-6369-4da8-86fd-241783ce5eaa/volumes/kubernetes.io~projected/kube-api-access-jtx58
shm              64M  1.1M   63M   2% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/4c0cca2f2aa579f4489ef81d684631b24cc1fca7af27e01ae6fa6fba99b25b36/shm
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/4c0cca2f2aa579f4489ef81d684631b24cc1fca7af27e01ae6fa6fba99b25b36/rootfs
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/54c9bd88846da321238569860e52049299cd4b30274b2f8b286882545dfb5c0c/shm
tmpfs           1.5G   12K  1.5G   1% /var/lib/kubelet/pods/9a25bac9-4da3-4e89-b20a-430114e2501f/volumes/kubernetes.io~projected/kube-api-access-k2bkx
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/54c9bd88846da321238569860e52049299cd4b30274b2f8b286882545dfb5c0c/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/affc8badf1acb0a5883dbb9127c2435f6307c92a7d64479e7bc385460e65acce/rootfs
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/5018534522dc808ea906e5661398db60b04e3ce33374174ca7def6e1650dda58/shm
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/5018534522dc808ea906e5661398db60b04e3ce33374174ca7def6e1650dda58/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/affad007478d8d5d0a9052ccf12502a469348b4eaae4656e28c7f04eee8c0022/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/1ee86d09f33607cf2a8fc3b754fde5e8f185f5b7ed968b2511b6168a90df03c7/rootfs
tmpfs           198M   72K  198M   1% /run/user/1000
