Filesystem      Size  Used Avail Use% Mounted on
tmpfs           198M  2.8M  195M   2% /run
/dev/sda2        49G   11G   37G  23% /
tmpfs           989M     0  989M   0% /dev/shm
tmpfs           5.0M     0  5.0M   0% /run/lock
/dev/sda1       511M  5.3M  506M   2% /boot/efi
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/9f8c4726c84589aff7b487d278cbccf5ba63c836bfe2198160d47e0501d65fc4/shm
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/ca011e95ed4673f8f285ba8f25b91407524cea5b44bc01515289c886565e67d2/shm
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/738f6aae326afc768a8017d39a7c4fe39eaf644b78c158d4a3b6af525ddc92df/shm
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/ca011e95ed4673f8f285ba8f25b91407524cea5b44bc01515289c886565e67d2/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/9f8c4726c84589aff7b487d278cbccf5ba63c836bfe2198160d47e0501d65fc4/rootfs
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/49b45c2061fe33cc9258debc71c72928bd9831d89a318015b3a296fef3014dc8/shm
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/49b45c2061fe33cc9258debc71c72928bd9831d89a318015b3a296fef3014dc8/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/738f6aae326afc768a8017d39a7c4fe39eaf644b78c158d4a3b6af525ddc92df/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/db1b4ac9923287387d5ae72b66fdb00f73f970851efaf74afdd88057a83a5c84/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/adc7a9ae51112b98c455708109989cf2d52eac05ec34866ee5aee1521b75a343/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/ee258fd2cef97dee70168aabe584250e78cff6f303fd07ec19dbe125e803845b/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/804a2b4f0c526049f0c9737ef7a3d8dab38dc3d21cc88b9a98a8715529e9ba18/rootfs
tmpfs           170M   12K  170M   1% /var/lib/kubelet/pods/b93ccdfa-d206-4744-bb4a-39c981d5a77d/volumes/kubernetes.io~projected/kube-api-access-4xp92
tmpfs           1.5G   12K  1.5G   1% /var/lib/kubelet/pods/0dd0e85c-2644-4a47-bbf5-ece44153f01d/volumes/kubernetes.io~projected/kube-api-access-b7msg
tmpfs           1.5G   12K  1.5G   1% /var/lib/kubelet/pods/faf35060-19b5-43fe-b224-cec9d4f7b6d2/volumes/kubernetes.io~projected/kube-api-access-5bfxf
tmpfs           170M   12K  170M   1% /var/lib/kubelet/pods/9196d64a-b75a-47a2-a760-88c32d0f287a/volumes/kubernetes.io~projected/kube-api-access-66dd4
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/a64fb1121d3769c61dc9a0b97a6b8caa14d9a7a8413361f0dd1d8e55f3440ced/shm
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/a80bb7324c355539bbaf633f3f737c3b43497b5ec2b07a6ede9980ec2b8f1c91/shm
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/a64fb1121d3769c61dc9a0b97a6b8caa14d9a7a8413361f0dd1d8e55f3440ced/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/a80bb7324c355539bbaf633f3f737c3b43497b5ec2b07a6ede9980ec2b8f1c91/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/216aa71912f205726d39469053fe4ee11837f6f95e68db70de1b71d086570248/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/88f4f250c4ccba167fd872e3e7e98ac9ddf538fa915cce4ff2be139f0500774d/rootfs
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/aedec63627482cd74c3c9cd88df6721a9cb610cb3593de2a002b414fea7973a7/shm
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/aedec63627482cd74c3c9cd88df6721a9cb610cb3593de2a002b414fea7973a7/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/651bd6fee730116969fb245259a31c8a0984a8784287c5ea744e8cfb1e45c824/rootfs
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/0042a53db3c880ca91b19bd892c8c63e9f4952108063be1f47902a5daf8cd332/shm
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/0042a53db3c880ca91b19bd892c8c63e9f4952108063be1f47902a5daf8cd332/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/352285a3afd77de56f22a1e84c6f8f94b6ef888b0ad495a8e5a4617d93e56b7c/rootfs
tmpfs           198M  2.4M  196M   2% /run/user/1000
