Filesystem      Size  Used Avail Use% Mounted on
tmpfs           198M  2.8M  195M   2% /run
/dev/sda2        49G   11G   37G  23% /
tmpfs           989M     0  989M   0% /dev/shm
tmpfs           5.0M     0  5.0M   0% /run/lock
/dev/sda1       511M  5.3M  506M   2% /boot/efi
tmpfs           198M   80K  198M   1% /run/user/127
tmpfs           1.5G   12K  1.5G   1% /var/lib/kubelet/pods/43eb2284-a3ac-4225-a774-5706f4c70228/volumes/kubernetes.io~projected/kube-api-access-mmvjd
tmpfs           1.5G   12K  1.5G   1% /var/lib/kubelet/pods/99c97d69-698c-4edd-88e9-4a9ba3b93f11/volumes/kubernetes.io~projected/kube-api-access-pcgwp
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/ff858f6253732ed5e02dc9482e23345d0da53d52ae264d169c6a24a4f28441a1/shm
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/ff858f6253732ed5e02dc9482e23345d0da53d52ae264d169c6a24a4f28441a1/rootfs
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/bf9399b641d0a23cec43d47996a40b62b3cd678ccc8a9b6e701391869a525e1b/shm
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/bf9399b641d0a23cec43d47996a40b62b3cd678ccc8a9b6e701391869a525e1b/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/5fe87e9b42407ff9a293fbf91a94e7f3f1c94aaa2ec01293e251a1871b8f79c3/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/a38e07fc63a1fe907d40b462a7c0545454a1393887b07115c63c12bb1d129ed7/rootfs
tmpfs           1.5G   12K  1.5G   1% /var/lib/kubelet/pods/3c757d42-be2d-4f2f-bcd0-f9bef54557a1/volumes/kubernetes.io~projected/kube-api-access-psjzb
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/c5879f55f53e0e414d26c9b24e6789acb8e554491c3a12f8e212fdba9deaf6f2/shm
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/c5879f55f53e0e414d26c9b24e6789acb8e554491c3a12f8e212fdba9deaf6f2/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/9f3fa28022796b2caa83d559b097a109ee5bb27f36e58f027cefa75272d3217e/rootfs
tmpfs           1.5G   12K  1.5G   1% /var/lib/kubelet/pods/c3b6baf2-150e-45d1-acd2-53104fbcb86c/volumes/kubernetes.io~projected/kube-api-access-w4lb4
tmpfs           1.5G   12K  1.5G   1% /var/lib/kubelet/pods/9d59c4fe-2712-46c4-a3a7-28b12f36d5fd/volumes/kubernetes.io~projected/kube-api-access-65m4z
shm              64M  1.1M   63M   2% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/f5e55ba79ae76ea5613e53a5570075fdcb66a53f07bf904e0c742a2108363115/shm
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/f5e55ba79ae76ea5613e53a5570075fdcb66a53f07bf904e0c742a2108363115/rootfs
tmpfs           1.5G   12K  1.5G   1% /var/lib/kubelet/pods/7575d104-c37e-4815-ab22-118c3b055910/volumes/kubernetes.io~projected/kube-api-access-n9fvx
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/045dc968be73c7e2819ba0fc03f1f37170af2e35fe0d4436b8850b757814a351/shm
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/48e35a8c5f259b92bc6448d88f8627fa03a8493ff7a63dd81006f36200c46f47/shm
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/e0c5e454ed7f1c85859e5021823fa76580002baa1668a4c3aa09106cacc75f76/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/045dc968be73c7e2819ba0fc03f1f37170af2e35fe0d4436b8850b757814a351/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/48e35a8c5f259b92bc6448d88f8627fa03a8493ff7a63dd81006f36200c46f47/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/227fc4441d9a8220e4fc7f98801813231f84b58df63786a3dabca8e17358736c/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/38132c7fe79ecc0cb021437f1e455c72106325f829f4482ad375403a31f851e7/rootfs
tmpfs           1.5G   12K  1.5G   1% /var/lib/kubelet/pods/5fe15167-78be-4156-b9dd-c50148e20321/volumes/kubernetes.io~projected/kube-api-access-9jhsq
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/90a22f69518835f28d2ceb998e3431d32a0bdec6af59cda73a969ef790cd8a3c/shm
tmpfs           1.5G   12K  1.5G   1% /var/lib/kubelet/pods/b36c8d59-1628-4b0e-90a2-e5d417552e3c/volumes/kubernetes.io~projected/kube-api-access-mwqzb
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/90a22f69518835f28d2ceb998e3431d32a0bdec6af59cda73a969ef790cd8a3c/rootfs
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/e2c2de1f1538c96847635e193ed3f1413f8672afa5264f801eeb59e1b8ae02a4/shm
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/e2c2de1f1538c96847635e193ed3f1413f8672afa5264f801eeb59e1b8ae02a4/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/81188580a68bfe1f2950d6422dd342647ca5d38cbb94fcea1c0e46cb7fd615d2/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/7de211190eb16170344539093ae199835aa90719958d5f2a724c208164f62ab2/rootfs
